threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,passes_quality_gate,passes_nominal_savings_gate,passes_conservative_savings_gate,passes_macro_gate,passes_harm_gate,passes_precision_gate,passes_guarded_dataset_gate,gate_pass_count,passes_base_gates,feasible_block_size,passes_stability_gate,is_feasible
0.875,0.7036376604850214,0.7047075606276747,0.9984817813765183,0.98888029760299,0.024251069900142655,0.029507627948960807,0.9073569482288828,0.8882271965698452,0.31341176470588233,0.26176890156918686,1.007700378965515,0.9812460127313759,18.0,0.9444444444444445,0.881669158374347,12.0,1.8931387113647167,1.9527850990648277,0.030544266099057804,0.02235084020305811,0.7382310984308131,False,True,True,True,False,False,False,3,False,0,False,False
0.88,0.7039942938659058,0.7047075606276747,0.9989878542510122,0.9899439459386385,0.021398002853067047,0.026375794424366078,0.9079754601226994,0.8876311638902142,0.27858823529411764,0.23252496433666192,1.0089328262622788,0.982724897707142,18.0,0.951388888888889,0.8911513112569869,12.0,1.8985591805357425,1.9527850990648277,0.0277685028194109,0.019575076923411205,0.7674750356633381,False,True,True,True,False,False,False,3,False,0,False,False
0.885,0.7047075606276747,0.7047075606276747,1.0,0.9914282261409872,0.018901569186875893,0.023618676576130374,0.910472972972973,0.8892583203285528,0.2536470588235294,0.21112696148359486,1.008795473889069,0.9837982395428374,18.0,0.951388888888889,0.8911513112569869,12.0,1.9030856268822314,1.9527850990648277,0.02545055889989989,0.017257133003900194,0.7888730385164051,True,True,True,True,True,False,False,5,False,0,False,False
0.89,0.7039942938659058,0.7047075606276747,0.9989878542510122,0.9910895186112425,0.016405135520684736,0.02084266347059609,0.9122137404580153,0.8897043541096595,0.22494117647058823,0.18687589158345222,1.0070072309477724,0.9849208665032304,18.0,0.951388888888889,0.8970393344440905,12.0,1.9084964875574573,1.9527850990648277,0.02267971602639729,0.014486290130397594,0.8131241084165478,True,True,True,True,True,False,False,5,False,0,False,False
0.895,0.706490727532097,0.7047075606276747,1.0025303643724697,0.9951307888068529,0.013195435092724679,0.017238514125024088,0.9217758985200846,0.8989847436442334,0.2051764705882353,0.16868758915834522,1.0073806008159591,0.984838754132875,18.0,0.9583333333333334,0.9069684950580377,12.0,1.914538567918846,1.9527850990648277,0.019585632420227705,0.011392206524228121,0.8313124108416547,True,True,True,True,True,False,True,6,False,0,False,False
0.9,0.7054208273894437,0.7047075606276747,1.001012145748988,0.994046484230527,0.012125534950071327,0.016026267744845772,0.916256157635468,0.8907952454698511,0.17505882352941177,0.144793152639087,1.005527099060462,0.9859649635171945,18.0,0.9583333333333334,0.914020187197723,12.0,1.9205177730226655,1.9527850990648277,0.016523746549282237,0.008330320653282208,0.855206847360913,True,True,True,True,True,False,True,6,False,0,False,False
0.905,0.7054208273894437,0.7047075606276747,1.001012145748988,0.994894153594791,0.009272467902995721,0.012758670546512427,0.9239766081871345,0.8969337476422361,0.1487058823529412,0.12196861626248216,1.0052781394489638,0.9870758774011812,18.0,0.9720279720279719,0.9329884646634671,12.0,1.926434900935172,1.9527850990648277,0.0134936497325151,0.005300223836515627,0.8780313837375179,True,True,True,True,True,False,True,6,False,0,False,False
0.91,0.7061340941512125,0.7047075606276747,1.0020242914979758,0.9965020429711051,0.007132667617689016,0.010263380894254421,0.9307958477508651,0.9020331851256098,0.12658823529411764,0.10306704707560628,1.0060524423066,0.9880548116154435,18.0,0.9782608695652173,0.9378094669827468,12.0,1.932210267078776,1.9527850990648277,0.010536147575022414,0.002342721679022608,0.8969329529243937,True,True,True,True,True,True,True,7,True,2,True,True
0.915,0.7047075606276747,0.7047075606276747,1.0,0.9955944839480301,0.004992867332382311,0.0077098021507660194,0.9391304347826087,0.9077439696231134,0.10164705882352941,0.08202567760342368,1.002181936421067,0.9934231828727647,18.0,0.9782608695652173,0.9432888622423571,12.0,1.9366824235219529,1.9527850990648277,0.008246004924241879,5.257902824251648e-05,0.9179743223965763,True,True,True,True,True,True,True,7,True,2,True,True
0.92,0.7036376604850214,0.7047075606276747,0.9984817813765183,0.9948530243761396,0.0039229671897289585,0.006400016038679072,0.9408602150537635,0.9055960966103997,0.08235294117647059,0.06633380884450785,1.0000986030877337,0.995220304706884,18.0,0.9782608695652173,0.9498044709615416,12.0,1.9402888286574733,1.9527850990648277,0.006399204097439437,-0.0017942217985600362,0.9336661911554922,True,True,False,True,True,True,True,6,False,0,False,False
0.925,0.7039942938659058,0.7047075606276747,0.9989878542510122,0.9961039384282868,0.0024964336661911554,0.0045978677577939555,0.9530201342281879,0.9155511090479813,0.06682352941176471,0.053138373751783166,1.0000851838714158,0.9964763882124839,18.0,0.986013986013986,0.9599755328270678,12.0,1.9431766991599297,1.9527850990648277,0.004920357037494494,-0.0032730688585054235,0.9468616262482168,True,True,False,True,True,True,True,6,False,0,False,False
0.93,0.7039942938659058,0.7047075606276747,0.9989878542510122,0.9963552426344426,0.0021398002853067048,0.004132521763779282,0.9487179487179487,0.9038994475640484,0.05223529411764706,0.04172610556348074,0.9997698322879484,0.9971669760582305,18.0,0.986013986013986,0.9599755328270678,12.0,1.946017374385798,1.9527850990648277,0.003465678165134878,-0.0047277477308647065,0.9582738944365192,True,True,False,True,True,True,True,6,False,0,False,False
0.935,0.7043509272467903,0.7047075606276747,0.9994939271255061,0.9976323232022694,0.0010699001426533524,0.0026740322740759362,0.963855421686747,0.9129608269721811,0.03764705882352941,0.029600570613409417,1.0001539848534384,0.9976328761543062,18.0,0.986013986013986,0.9599755328270678,12.0,1.9495492621651604,1.9527850990648277,0.0016570368655602907,-0.0065363890304392935,0.9703994293865906,True,True,False,True,True,True,True,6,False,0,False,False
0.94,0.7047075606276747,0.7047075606276747,1.0,0.9988225763086854,0.0003566333808844508,0.0015969700485162692,0.9814814814814815,0.9211601663963909,0.024941176470588234,0.01925820256776034,1.000228783562117,0.9989976838975416,18.0,0.993006993006993,0.9745576414442184,12.0,1.953621784751941,1.9527850990648277,-0.0004284576359754322,-0.008621883531975127,0.9807417974322397,True,False,False,True,True,True,True,5,False,0,False,False
0.945,0.7050641940085592,0.7047075606276747,1.0005060728744941,0.9996736570713808,0.0,0.0009639569994812534,1.0,0.9282454725154864,0.01647058823529412,0.012482168330955777,1.0006172839506173,0.9996019422055855,18.0,1.0,0.9817971414058139,12.0,1.954777740529402,1.9527850990648277,-0.0010204100110804415,-0.009213835907080137,0.9875178316690443,True,False,False,True,True,True,True,5,False,0,False,False
0.95,0.7050641940085592,0.7047075606276747,1.0005060728744941,0.9996736570713808,0.0,0.0009639569994812534,1.0,0.8808421626390356,0.009411764705882352,0.007132667617689016,1.0006172839506173,0.9996019422055855,18.0,1.0,0.9817971414058139,12.0,1.955850225075289,1.9527850990648277,-0.0015696176767885373,-0.009763043572788233,0.992867332382311,True,False,False,True,True,False,True,4,False,0,False,False
0.975,0.7047075606276747,0.7047075606276747,1.0,1.0,0.0,0.0009639569994812534,1.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,1.0,12.0,1.9567850990648274,1.9527850990648277,-0.0020483564739997018,-0.010241782369999619,1.0,True,False,False,True,True,True,True,5,False,0,False,False
0.99,0.7047075606276747,0.7047075606276747,1.0,1.0,0.0,0.0009639569994812534,1.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,1.0,12.0,1.9567850990648274,1.9527850990648277,-0.0020483564739997018,-0.010241782369999619,1.0,True,False,False,True,True,True,True,5,False,0,False,False
